date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2024-07-29,7.454166666666667,3.970833333333333,162.79166666666666,6.991666666666667,2.7875,40.333333333333336,0.25833333333333336,5.958333333333333,2.0541666666666667,23.666666666666668,16.416666666666668
2024-07-30,5.6000000000000005,3.716666666666667,210.0,10.9125,3.704166666666667,31.208333333333332,0.15541666666666668,1.25,0.7270833333333333,16.666666666666668,12.375
2024-07-31,6.325,4.2250000000000005,200.08333333333334,10.295833333333333,3.3708333333333336,33.958333333333336,0.14791666666666667,1.3333333333333333,1.5395833333333335,17.041666666666668,13.791666666666666
2024-08-01,6.529166666666666,4.370833333333334,201.08333333333334,10.433333333333334,3.475,33.208333333333336,0.14416666666666667,1.2083333333333333,1.9729166666666667,18.833333333333332,13.541666666666666
2024-08-02,8.479166666666666,5.1625000000000005,189.75,9.541666666666666,3.2708333333333335,37.958333333333336,0.1925,3.375,1.8541666666666667,20.833333333333332,15.25
2024-08-03,10.216666666666667,6.245833333333334,205.66666666666666,12.445833333333333,3.9125,30.291666666666668,0.26333333333333336,4.083333333333333,1.3583333333333334,22.666666666666668,13.625
2024-08-04,11.275,6.829166666666667,214.08333333333334,12.066666666666668,4.2,35.541666666666664,0.17958333333333332,5.083333333333333,2.25,28.5,16.875
2024-08-05,19.308333333333334,10.0375,235.66666666666666,13.200000000000001,4.708333333333333,34.458333333333336,0.2708333333333333,13.75,1.7395833333333333,32.583333333333336,17.916666666666668
2024-08-06,16.558333333333334,10.604166666666666,289.0833333333333,17.5,5.5625,31.833333333333332,0.17500000000000002,5.083333333333333,1.0479166666666666,43.958333333333336,21.541666666666668
2024-08-07,14.295833333333334,9.566666666666666,295.4583333333333,17.8875,5.4750000000000005,28.75,0.1675,2.75,1.5145833333333334,45.5,22.416666666666668
2024-08-08,15.075000000000001,8.9125,232.91666666666666,12.462499999999999,4.108333333333333,36.458333333333336,0.18041666666666667,8.708333333333334,2.06875,35.583333333333336,19.041666666666668
